,Document,Original Summary,Corrected Summary
51,"Tesla Inc halted production at its Shanghai plant on Monday due to issues with supplies, two people familiar with the matter said. (Sign up to our Technology newsletter, Today's Cache, for insights on emerging themes at the intersection of technology, business and policy. Click here to subscribe for free.) The suspension comes just three weeks after the U.S. automaker partially resumed production at the Shanghai plant on April 19 following a 22-day closure caused by the city's COVID-19 lockdown, reflecting the complexity and uncertainties of keeping manufacturing going as China battles the coronavirus. It is unclear when the supply issues can be resolved and when Tesla can resume production, said the people, who declined to be identified as the matter is private. Shanghai is now in its sixth week of lockdown. Among Tesla suppliers facing issues is wire harness maker Aptiv which had to stop shipping supplies from a plant that supplies Tesla and General Motors after infections were found among its employees, sources said on Monday. Tesla did not immediately respond to a query for comment. The company was aiming to increase output at its Shanghai plant to 2,600 cars a day from May 16, as it seeks to restore production to levels before the lockdown. The disruption to Tesla's Shanghai plant has been one of the highest-profile consequences of China's measures to control its biggest COVID-19 outbreak, which have also crimped consumption, including vehicle sales. China's auto association said last week it estimated auto sales in China dropped 48% in April as zero-COVID lockdowns shut factories, limited traffic to showrooms and put the brakes on spending. Shanghai authorities have tightened a city-wide lockdown imposed more than a month ago on the commercial hub with a population of 25 million, a move that could extend curbs on movement through the month. ","Tesla halted production at its Shanghai plant on Monday due to issues with supplies, two people familiar with the matter said . The suspension comes just three weeks after the U.S. automaker partially resumed production at the plant on April 19 following a 22-day closure caused by the city's COVID-19 lockdown . Shanghai is now in its sixth week of lockdown","Tesla halted production at its Shanghai plant on May 10 due to issues with supplies, sources said. The suspension comes just three weeks after the U.S. automaker partially resumed production at the plant on April 19 following a 22-day closure caused by the city's COVID-19 lockdown. The company was aiming to increase output at its Shanghai plant as it seeks to restore production to levels before the lockdown. The disruption to Tesla's Shanghai plant has been one of the highest-profile consequences of China's measures to control its biggest COVID-19 outbreak, which have also crimped vehicle sales."
52,"The University Grants Commission has come up with guidelines for research internship that is envisaged in the National Education Policy 2020. The draft guidelines would be uploaded on its website in a couple of days., an official said  The guidelines have proposed two types of research internships – students may either enhance their employability or develop their research aptitude. Students will have to do internship for a minimum of 20 credits from the 160 credits of a 4-year undergraduate degree programme. Internships of 8-10 weeks of 10 credits after the second and fourth semester will be mandatory for students who wish to exit with a certificate or diploma. Those who continue with the degree programme may undertake optional research internship after the second/fourth semester to enhance their research capabilities. Such candidates will be engaged as interns in higher educational institutions or research institutions or industrial research and development laboratories. Each research intern should have completed 450 hours in research activity during the course work. One credit implies a minimum 45 hours of engagement in internship activities in a week, the draft stipulates. Those who wish to gain a diploma or certificate will have to do 10 credits of research internship. Four-year degree students are expected to do 40 credits of research internship which includes courses in research and analytical tools and techniques (10 credits) and dissertation/project work in interdisciplinary/multidisciplinary/trans-disciplinary areas (30 credits).  The guidelines also offers flexibility of doing research internship either in another HEI or the same institution. The intern will be attached to a research supervisor.  It also proposes a centrally managed research internship portal to manage to arrange internships.",University Grants Commission has come up with guidelines for research internship that is envisaged in the National Education Policy 2020 . Draft guidelines would be uploaded on its website in a couple of days . Students will have to do internship for a minimum of 20 credits from 160 credits of a 4-year undergraduate degree programme .,University Grants Commission will soon upload the draft guidelines for research internship  envisaged in the NEP 2020. The guidelines have proposed two types of research internships - students may either enhance their employability or develop their research aptitude. Students will have to do internship for a minimum of 20 credits from 160 credits of a 4-year undergraduate degree programme. Those who continue with the degree programme may undertake optional research internship after the second/fourth semester to enhance their research capabilities. The guidelines also offer flexibility of doing research internship either in another HEI or the same institution.
53,"I The Government's affidavit asking the Supreme Court to keep the sedition case pending during the reconsideration of the colonial law does not agree with a Constitution Bench judgment, which held that the Government cannot speak for or make promises to the court on behalf of Parliament. While the Bench led by Chief Justice of India N.V. Ramana said it ""respects the government's word"", Justice Surya Kant, speaking from the Bench, made it a point to observe that ""the government cannot give guarantees on behalf of the Parliament"". A ""reconsideration"" of Section 124A would entail legislative process. The Supreme Court cannot give the Parliament a deadline to complete the process. Neither can the government promise the Supreme Court a specific outcome from the Parliament. The Parliament stands alone and independent in its domain of law-making. Then how can the government, through an affidavit, ask the Supreme Court to halt its constitutional duty to examine the constitutionality of Section 124A and await the results of the reconsideration of the colonial provision?  ""The deponents of the affidavits filed in court may speak for the parties on whose behalf they swear to the statement. They do not speak for the Parliament. No one may speak for the Parliament and Parliament is never before the court,"" the Constitution Bench in Sanjeev Coke Manufacturing Company versus Bharat Coking Coal Limited had held in 1982. The judgment held that the court was the only ""authentic voice"" which may echo or interpret the Parliament's voice once a statute leaves the Parliament House. ""After Parliament has said what it intends to say, only the court may say what the Parliament meant to say. None else,"" the five-judge Bench had held. When the government files an affidavit containing its understanding of a Parliamentary law or the facts and circumstances which led to the particular law, it speaks for itself and not for the Parliament, the Constitution Bench had noted.  The court should not even concern itself with the statements made in an affidavit, the judgment said. The court has to reach its own conclusions about the legality of a law. ""Validity of a legislation is not to be judged merely by affidavits filed on behalf of the State, but by all the relevant circumstances which the court may ultimately find and more especially by what may be gathered from what the legislature has itself said,"" the Constitution Bench had stressed. Senior advocate Gopal Sankaranarayanan, who drew the attention of the apex court to the Sanjeev Coke judgment, said there was a ""pattern"" to the filing of such affidavits by the government side. ""When the Puttuswamy case (privacy) was about to be closed, the government filed a memo in the Supreme Court saying Justice B.N. Srikrishna Committee has been formed to look into the issues. In the marital rape case before the Delhi High Court, the government said it is reconsidering the law..."" Mr. Sankaranarayanan submitted amidst objections from Solicitor General Tushar Mehta. Senior advocate Kapil Sibal said the court could not wait merely because there was an ""intention"" to reconsider the sedition provision, the doing of which may take six months to a year. ""Each institution has its job. The legislature makes laws. It is for you [Supreme Court] to decide whether a law is constitutional or not,"" Mr. Sibal argued. ","The Government's affidavit does not agree with a Constitution Bench judgment, which held that the Government cannot speak for or make promises to the court on behalf of Parliament . A ""reconsideration"" of Section 124A would entail legislative process . The Supreme Court cannot give the Parliament a deadline to complete the process .","The Government's affidavit asking the Supreme Court to keep the sedition case pending during the reconsideration of the colonial law does not agree with a Constitution Bench judgment, which held that the Government cannot speak for or make promises to the court on behalf of Parliament. The Bench led by CJI Ramana said it ""respects the government's word but observed that ""the government cannot give guarantees on behalf of the Parliament""."
54,"The government is working to bring in more stringent norms for social media platforms aimed at increasing accountability for their content, which may lead to dilution of safe harbour rules that protects intermediaries from being held liable for third-party content on their platforms, a senior government source told The Hindu. ""Today internet, social media, digital...are part of our lives. Now, that is giving us a huge advantage on one side and it is causing a serious risk on the other side... We have to see, how do we accelerate that advantage and at the same time reduce the risk... to mitigate risks? Whatever legal structure we make, it needs to have cyber security as a key element. Other key elements are accountability of social media and protection of personal data,"" the source said. The work is going on on this and the government will soon initiate discussions with industry and stakeholders on the new framework. ""If you look at Europe, East Asia, many states of the U.S.... each and every place is moving towards more accountability for social media. What does that mean? Basically, it means that when you are reading something you know that someone is accountable for what is written... accountability which is applicable in the analogue world, like with papers and magazine, this should be there in the digital world as well. That is the fundamental construct towards which everybody is moving,"" the official, who did not want to be named, said. Asked about the safe harbour rules, the official said that many countries are moving to newer legislations where there is no concept of ""complete safe harbour"". ""The new IT rules laws came into effect last year...They have served a purpose, but social media is moving forward so we need newer laws to keep pace with this...,"" the source added.",The government is working to bring in more stringent norms for social media platforms aimed at increasing accountability for their content . This may lead to dilution of safe harbour rules that protects intermediaries from being held liable for third-party content on their platforms .,"The government is working to bring in more stringent norms for social media platforms aimed at increasing accountability for their content, according to sources. This may lead to dilution of safe harbour rules that protects intermediaries from being held liable for third-party content on their platforms. According to the official, many countries are moving to newer legislations where there is no concept of ""complete safe harbour"". The government will soon initiate discussions with industry and stakeholders on the new framework."
55,"Life insurance companies reported a robust 84.2% increase in first-year premium to ₹17,939.62 crore for April on the back of a good show by market leader, the Life Insurance Corporation of India. For LIC, the first-year premium rose 141.3% at ₹11,716.70 crore (₹4,856.76 crore), a development that is bound to bring cheer for the behemoth ahead of the listing of its shares. Private life insurers logged a 27.5% growth in total first-year premium (FYP) to ₹6,222.92 crore, the new business statement for the 24 insurers issued by IRDAI showed. Of the 22 operational private firms, six reported a decline in the FYP. Emkay Global said in a research report that a three-year compound annual growth rate would present a true picture of expansion, considering a stringent nationwide lockdown in April 2020 and the impact of the COVID-19 Delta wave in April last year. On a three-year CAGR basis, private life insurers delivered RWRP (retail weighted received premium) growth of 18% as against 5% for LIC. The year-on-year growth will start to normalise from the second quarter of this financial year, once the favourable base effect goes away. Additionally, April is a relatively leaner month for life insurers, so extrapolating the numbers for the month to the full year would not be correct, it pointed out in the report.","Life insurance companies reported a robust 84.2% increase in first-year premium to ?17,939.62 crore for April . For market leader, the Life Insurance Corporation of India, the first year premium rose 141.3% .","Life insurance companies reported a robust 84.2% increase in first-year premium to ?17,939.62 crore for April. For market leader, Life Insurance Corporation of India, the first year premium rose 141.3%. Private life insurers logged a 27.5% growth in total first-year premium. Of the 22 operational private firms, six reported a decline in the FYP. However, a three-year compound annual growth rate would present a true picture of expansion, considering a stringent nationwide lockdown in April 2020 and the impact of the COVID-19 Delta wave last year."
56,"Zaporizhzhia [Ukraine] Russian troops pounded the vital port of Odesa, Ukrainian officials said on May 10, an apparent effort to disrupt the supply lines and Western weapons shipments critical to Kyiv's defence. Ukraine's ability to stymie a larger, better-armed Russian military has surprised many who had anticipated a much quicker conflict. With the war now in its 11th week and Kyiv bogging Russian forces down and even staging a counteroffensive, Ukraine's Foreign Minister appeared to suggest the country could expand its aims beyond merely pushing Russia back to areas it or its allies held on the day of the February 24 invasion. One of the most dramatic examples of Ukraine's ability to deny Moscow easy victories has been Mariupol, where Ukrainian fighters remained holed up at a steel plant, denying Russia's full control of the city. The regiment defending the plant said on May 10 that Russian warplanes continued pounding it. In recent days, the United Nations and Red Cross organised a dramatic rescue of what some officials said were the last civilians trapped at the plant. But on May 10, two officials said about 100 were believed to still be in the complex's underground tunnels. Others said that was impossible to confirm. In another harrowing example of the grisly toll the war continues to take, the Ukrainians said they found the bodies of 44 civilians in the rubble of a building destroyed weeks ago in the northeastern city of Izyum. The Ukrainian military said Russian forces fired seven missiles on May 9 at Ukraine's largest port, Odesa, hitting a shopping center and a warehouse. One person was killed and five wounded, the military said. Images overnight showed a burning building and debris — including a tennis shoe — in a heap of destruction in the city on the Black Sea. Mayor Gennady Trukhanov later visited the warehouse and said it ""had nothing in common with military infrastructure or military objects."" Ukraine alleged at least some of the munitions used dated to the Soviet era, making them unreliable in targeting. But the Center for Defense Strategies, a Ukrainian think tank tracking the war, said Moscow used some precision weapons against Odesa: Kinzhal, or ""Dagger,"" hypersonic air-to-surface missiles. Ukrainian, British and U.S. officials say Russia is rapidly using up its stock of precision weapons, raising the risk of more imprecise rockets being used as the conflict grinds on. Ever since President Vladimir Putin's forces failed to take Kyiv early in the war, his focus shifted to the eastern industrial heartland of the Donbas — but one general has suggested Moscow's aims also include cutting Ukraine's maritime access to both the Black and Azov seas. That would also give it a swath of territory that would link Russia to both the Crimean Peninsula, which it seized in 2014, and Transnistria, a pro-Moscow region of Moldova. Even if it falls short of severing Ukraine from the coast — and it appears to lack the forces to do so — continuing missile strikes on Odesa reflect the city's strategic importance. The Russian military has repeatedly targeted its airport and claimed it destroyed several batches of Western weapons. Odesa is also a major gateway for grain shipments, and its blockade by Russia already threatens global food supplies. Beyond that, the city is a cultural jewel, dear to Ukrainians and Russians alike, and targeting it carries symbolic significance as well. In Mariupol, Russians also bombarded the Azovstal steel mill, the Azov regiment said, targeting the sprawling complex 34 times in the past 24 hours. Attempts to storm the plant also continued, it said. Meanwhile, Petro Andryushchenko, an adviser to the city's mayor, estimated on social media that at least 100 civilians are trapped in the plant. Donetsk regional Gov. Pavlo Kyrylenko said those who remain are people ""that the Russians have not selected"" for evacuation. The two officials didn't say how they knew civilians were still in the complex — a warren of tunnels and bunkers spread over 11 square kilometers (4 square miles). Sviatoslav Palamar, the deputy commander of the Azov regiment, told The Associated Press that he could not confirm any civilians remained. Mayor Vadym Boichenko also said there was no way to know. With Russian forces struggling to gain ground in the Donbas, military analysts suggest that hitting Odesa might serve to stoke concern about southwestern Ukraine, thus forcing Kyiv to put more forces there. That would pull them away from the eastern front as Ukraine's military stages counteroffensives near the northeastern city of Kharkiv, aiming to push the Russians back across the border there. Kharkiv and the surrounding area has been under sustained Russian attack since the early in the war. In recent weeks, grisly pictures testified to the horrors of those battles, with charred and mangled bodies strewn in one street. Dozens of bodies were found in a five-story building that collapsed in March in Izyum, about 120 kilometers (75 miles) from Kharkiv, said Oleh Synehubov, the head of the regional administration. Ukraine's foreign minister, meanwhile, appeared to voice increasing confidence — and expanded goals — amid Russia's stalled offensive. ""In the first months of the war, the victory for us looked like withdrawal of Russian forces to the positions they occupied before February 24 and payment for inflicted damage,"" Dmytro Kuleba said in an interview with the Financial Times. ""Now if we are strong enough on the military front and we win the battle for Donbas, which will be crucial for the following dynamics of the war, of course the victory for us in this war will be the liberation of the rest of our territories."" That appears to indicate that Ukraine wants to try to retake Crimea as well as regions of the Donbas taken by Russia and the separatists it backs. But the comments seemed to reflect political ambitions more than battlefield realities: Many analysts acknowledge that while Russia isn't capable of making quick gains, the Ukrainian military isn't strong enough to drive the Russians back. Also Tuesday, the Ukrainian military warned that Russia could target the country's chemical industries. It did not elaborate but Russian shelling has previously targeted oil depots and other industrial sites. U.S. President Joe Biden signed a bipartisan measure on May 9 to reboot the World War II-era ""lend-lease"" program, which helped defeat Nazi Germany, to bolster Kyiv and its allies. Western powers continued to rally around Ukraine's embattled government. German Foreign Minister Annalena Baerbock traveled to the Kyiv suburb of Bucha, where the bodies of civilians — some bound, burned or shot at close range — were found after Russian forces withdrew. ""We owe it to the victims that we don't just commemorate them here but that we hold the perpetrators to account,"" she said. ","Russian troops pounded the vital port of Odesa, Ukrainian officials said on May 10, an apparent effort to disrupt the supply lines and Western weapons shipments critical to Kyiv's defence . Ukraine's ability to stymie a larger, better-armed Russian military has surprised many who had anticipated a much quicker conflict .","Russian troops pounded the vital Ukrainian port of Odesa on May 10, in an apparent effort to disrupt the supply lines and Western weapons shipments critical to Kyiv's defence. The Ukrainian military said Russian forces fired seven missiles on May 9 at Ukraine's largest port, Odesa, hitting a shopping center and a warehouse.  In Mariupol, Russians also bombarded the Azovstal steel mill, where at least 100 civilians are still trapped targeting the sprawling complex 34 times in the past 24 hours. Meanwhile, dozens of bodies were found in a five-story building that collapsed in March in Izyum."
57,"The Chief Justice of India (CJI) N.V. Ramana on Saturday expressed deep concern over the rising number of attacks faced by doctors and medical professionals in the line of duty. ""I am extremely saddened to witness rising violence against doctors. Several false cases are being lodged against upright and hardworking doctors. They need a better and more secure working environment,"" Chief Justice Ramana said at a book launch in the national capital.  The CJI said pro-active measures to protect doctors from violence while doing their duty was the need of the hour. The CJI was releasing a comprehensive guide titled 'Atlas of Breast Elastography and Ultrasound Guided Fine Needle Cytology' co-authored by Dr. Colonel C.S. Pant and Dr. Vaneeta Kapur. The CJI had last year condemned the brutal attacks on doctors, who had stood like a rock between the COVID-19 virus and thousands of emotionally and physically vulnerable patients confined to isolation in hospital wards during the pandemic.  The Chief Justice had asked why medical professionals were at the ""receiving end for someone else's failure"".  ""It is saddening that our doctors are being brutally attacked while on duty. Why is it that the medical professionals are at the receiving end for someone else's failure? Issues such as insufficient number of medical professionals, infrastructure, medicines, outdated technologies, and government not giving priority to medical sector are issues of immediate concern,"" Chief Justice Ramana had said in another speech in July 2021. ",Chief Justice of India N.V. Ramana expresses concern over rising number of attacks on doctors . The CJI was releasing a comprehensive guide titled 'Atlas of Breast Elastography and Ultrasound Guided Fine Needle Cytology',"Chief Justice of India N.V. Ramana expressed concern over rising number of attacks on doctors and medical professionals. Stating that several false cases are being lodged against upright and hardworking doctors, the CJI said pro-active measures to protect doctors from violence was the need of the hour. The CJI had last year condemned the brutal attacks on doctors during the pandemic, and had asked why medical professionals were at the ""receiving end for someone else's failure""."
58," Al-Qaida leader Ayman al-Zawahri made an appearance in a pre-recorded video to mark the 11th anniversary of the death of his predecessor Osama bin Laden.  Al-Zawahri says in the video that ""U.S. weakness"" was the reason that its ally Ukraine became ""prey"" for the Russian invasion. The 27-minute speech was released Friday according to the SITE Intelligence group, which monitors militant activity. The leader appears sitting at a desk with books and a gun. Urging Muslim unity, al-Zawahri said the U.S. was in a state of weakness and decline, citing the impact of the wars in Iraq and Afghanistan launched after the 9/11 terrorist attacks. Bin Laden was the mastermind and financier behind the attacks. ""Here (the U.S.) is after its defeat in Iraq and Afghanistan, after the economic disasters caused by the 9/11 invasions, after the Corona pandemic, and after it left its ally Ukraine as prey for the Russians,"" he said.  Bin Laden was killed in a 2011 raid by U.S. forces on his compound hideout in Pakistan.  Al-Zawahri's whereabouts are unknown. He is wanted by the FBI and there is a $25 million reward for information leading to his capture.","Ayman al-Zawahri says the U.S. left its ally Ukraine ""prey"" for the Russian invasion of Ukraine . The 27-minute video was released by the SITE Intelligence group . The leader appears sitting at a desk with books and a gun . Osama bin Laden was killed in a 2011 raid on his compound hideout in Pakistan","Al-Qaida leader Ayman al-Zawahri, in a pre-recorded video marking the 11th death anniversary of Osama Bin Laden, said that the U.S. weakness was the reason that Ukraine became ""prey"" for the Russian invasion. Urging Muslim unity, al-Zawahri said the U.S. was in a state of weakness and decline, citing the impact of the wars in Iraq and Afghanistan. Al-Zawahri's whereabouts are unknown and he is wanted by the FBI with a $25 million reward for information leading to his capture."
59,"The Pendurthi police on Saturday arrested three persons including two woman on charge of stealing 21 tolas of gold ornaments from a woman in Visakhapatnam on May 3.  The accused allegedly committed the offence when the woman was returning home after having a darshan at the Sri Varaha Lakshmi Narasimha Swamy temple during Chandanotsavam festival at Simhachalam. The accused have been identified as P. Jammulamma (35), S. Sangeetha (27) and Sampangi Siva Dargayya (34), all from Nandyal district. The police have recovered 240 grams of ornaments worth ₹5.25 lakh stolen from the woman.","Pendurthi police on Saturday arrested three persons including two woman on charge of stealing 21 tolas of gold ornaments from a woman in Visakhapatnam . The accused have been identified as P. Jammulamma (35), S. Sangeetha (27) and Sampangi Siva Dargayya (34",Pendurthi police on Saturday arrested three persons including two women on charge of stealing 21 tolas of gold ornaments from a woman in Visakhapatnam. The accused allegedly committed the offence when the woman was returning home from Sri Varaha Lakshmi Narasimha Swamy temple. The police recovered 240 grams of ornaments worth ?5.25 lakh.
60,"Indian Space Research Organisation (ISRO) chairman S. Somanath has exhorted budding engineers to exploit the possibilities of the Indian space sector that has been opened up for private players.  He was speaking while delivering the keynote address during the inaugural session of TechnoGenex 2022, a virtual event organised by the UAE chapter of the College of Engineering Thiruvananthapuram Alumni Association (CETAA) on Saturday.  Dr. Somanath stressed on the need to enhance the country's engagement in the space industry that was estimated to be worth $440 billion. With a share of hardly 2%, India had a long way to go to match other countries in terms of space applications.  ""The (Central) government has felt the need for infusing private capital in the sector through reforms. Private players must be enabled to undertake the tasks with the support of the space sector that is available in the country. The focus must be on bringing technology from outside and creating manufacturing hubs to boost space technology in India,"" he said.  Companies would soon be allowed to build and operate space crafts and rockets on their own. The domain would no longer remain the exclusive right of the ISRO, Dr. Somanath said.  He pointed out that nearly 100 start-ups were currently engaged in the space sector in the country. Around 15 of them were adequately funded to overcome the initial hurdles associated with creating prototypes, he added.  The aerospace engineer also emphasised on the potential held by the Trivandrum Engineering Science and Technology (TrEST) Research Park, attached to the CET, which has create an effective linkage with the industry through its research in e-mobility and processors. He served as the chairman of its Board of Governors until recently.  CET principal and CETAA president V. Suresh Babu presided over the inaugural session. CETAA secretary P.K. Jayasree, UAE chapter president Saji P. Oommen, and CET 1952 batch alumni Kasy Aiyar and M. Godwin Joseph, also spoke. ","ISRO chairman S. Somanath exhorted budding engineers to exploit the possibilities of the Indian space sector that has been opened up for private players . He was speaking at the inaugural session of TechnoGenex 2022, a virtual event organised by the UAE chapter of the College of Engineering Thiruvananthapuram Alumni Association .","ISRO chairman S. Somanath exhorted budding engineers to exploit the possibilities of the Indian space sector that has been opened up for private players. Companies would soon be allowed to build and operate space crafts and rockets on their own and the domain would no longer remain the exclusive right of the ISRO, he said. Speaking at the inaugural session of TechnoGenex 2022, Dr. Somanath stressed on the need to enhance the country's engagement in the space industry that was estimated to be worth $440 billion."
61," This time, the Spanish player being celebrated on center court wasn't Rafael Nadal. The loud cheers from spectators at the Caja Mágica in Madrid were, instead, directed at the teenage sensation considered the Spanish successor to the all-time great Nadal. In a clash of generations, 19-year-old Carlos Alcaraz overcame an injury to defeat his idol 6-2, 1-6, 6-3 in the Madrid Open quarterfinals on Friday. The teen recovered from a bad ankle twist early in the second set to earn his first victory against Nadal, marking what could be the beginning of a change of guard in Spanish tennis. ""It's obvious there's (a change in guard),"" Nadal said. ""He turned 19 yesterday, I'm almost 36 years old. If (the change) begins today or not, we will find out in the next few months. I'm happy for him. He was better than me in several aspects of the game."" Nadal also was loudly supported throughout the match, and the five-time champion received a huge ovation as he left the court. Alcaraz was emotional afterwards. ""It means a lot to me to beat Rafa, to beat the best player in the history on clay,"" he said. ""This is the result of all the hard work I've done."" It was Nadal's first loss to a Spaniard in six years, since to Fernando Verdasco at the 2016 Australian Open. He had a 138-21 record against his countrymen before facing Alcaraz for a third time. The ninth-ranked Alcaraz is the youngest ever semi-finalist in Madrid. He will next face top-ranked Novak Djokovic, who eased past Hubert Hurkacz 6-3, 6-4. The other semifinal will be between Stefanos Tsitsipas and defending champion Alexander Zverev. The fourth-seeded Tsitsipas defeated Andrey Rublev 6-3, 2-6, 6-4, while the second-seeded Zverev beat Felix Auger-Aliassime 6-3, 7-5. Still far from his best form after a six-week injury layoff, Nadal predicted a hard time keeping up with the energy of Alcaraz. He was right early on, as the youngster overpowered him to easily win the first set with three breaks. But Alcaraz lost momentum after needing medical attention for his right ankle, losing 20 of the next 22 points as Nadal cruised through the second set. ""It was a little bit painful, but it was no reason to do the second set that I have done,"" Alcaraz said. ""I think that I have let myself go. I was thinking of my ankle all the time and not on playing the match."" The match also was interrupted in the second set after a fan became ill in the stands. Both players got off to a great start this season; both have a tour-leading three titles already. Nadal's run was hampered by a rib stress fracture he sustained in his semifinal win against Alcaraz in Indian Wells. Nadal saved four match points to get past David Goffin in a third-round match that lasted more than three hours on Thursday. He said it was a positive balance for him after winning two matches following his injury layoff. ""It's an easy loss to digest in that regard, because we knew what we could expect here,"" he said. ""My only dream is (to) be in Paris (for the French Open) healthy enough and physically good enough to compete at the highest level possible."" Three-time Madrid champion Djokovic had little trouble against Hurkacz. The Serb took advantage of Hurkacz's slow start and took a 3-0 lead after the Polish player ceded his first service game by hitting long. Another spate of unforced errors cost Hurkacz a second-set break when he smacked a forehand long. Djokovic's dominance was never ended, and he won on his fourth match point. Djokovic is trying to regain his best form after not being allowed to play in the Australian Open because he was not vaccinated. ""It's definitely a positive indication that I am on the right track in terms of getting to the desired level of tennis, being in one of the best tournaments in the world where all the best players are playing,"" he said. ""It does give me confidence, and it encourages me to keep going. I have a lot of positives to take from the last couple of days."" Djokovic beat Gael Monfils in straight sets to start his campaign at the outdoor clay tournament, and a walkover after Andy Murray withdrew because of a stomach illness before their match on Thursday. Djokovic praised Alcaraz after arriving in Madrid this week and said his son had already replaced Nadal with the young Spaniard as his favorite player. ","Rafael Nadal loses to Carlos Alcaraz in Madrid Open quarterfinals . The 19-year-old recovers from a bad ankle injury to beat his idol 6-2, 1-6, 6-3 . It was Nadal's first loss to a Spaniard in six years, since to Fernando Verdasco at the 2016 Australian Open . Novak","Rafael Nadal lost the Madrid Open quarterfinals to Carlos Alcaraz on May 7. The 19-year-old recovered from a bad ankle twist in the second set to beat his idol 6-2, 1-6, 6-3. It was Nadal's first loss to a Spaniard in six years, since he lost to Fernando Verdasco at the 2016 Australian Open. The ninth-ranked Alcaraz is the youngest ever semi-finalist in Madrid. He will next face top-ranked Novak Djokovic, who eased past Hubert Hurkacz 6-3, 6-4. The other semifinal will be between Stefanos Tsitsipas and defending champion Alexander Zverev."
62,"Top Indian runner Avinash Sable smashed the 30-year-old men's 5000m national record at the Sound Running Track Meet at San Juan Capistrano, California in USA. Sable, who also holds the national record in his pet event of 3000m steeplechase and competed in Tokyo Olympics, clocked 13 minutes and 25.65 seconds while finishing 12th in the American Meet. The 27-year-old army man from a humble family in the Beed district of Maharashtra broke Bahadur Prasad's long-standing record of 13:29.70s set in Birmingham in 1992. Norway's Tokyo Olympics 1500m gold winner Jakob Ingebrigtsen won the race with a timing of 13:02.03s. The Sound Running Track Meet is a World Athletics Continental Tour bronze level event. Sable is known for breaking his own 3000m steeplechase national record multiple times. He did it for the seventh time during the Indian Grand Prix 2 in Thiruvananthapuram in March with a time of 8:16.21s. He had also set a then national record of 8:18.12s during the Tokyo Olympics. He has already qualified for the World Championships to be held in Eugene, USA from July 15 to 24. ""We were planning Avinash to field in both 3000m steeplechase and 5000m in Asian Games as he has medal chance in both events,"" Indian athletics' chief coach Radhakrishnan Nair told PTI. The Hangzhou Asian Games, originally scheduled to be held from September 10 to 15, were on Friday postponed indefinitely due to surging COVID-19 cases in China.","Avinash Sable smashed the 30-year-old men's 5000m national record at the Sound Running Track Meet at San Juan Capistrano, California in USA . Sable also holds the national record in his pet event of 3000m steeplechase and competed in Tokyo Olympics . Norway's Jakob Ingebrigtsen won the race","Avinash Sable smashed the 30-year-old men's 5000m national record at the Sound Running Track Meet at San Juan Capistrano, California in USA. Clocking 13 minutes and 25.65 seconds he finished 12th in the American Meet, and broke Bahadur Prasad's long-standing record of 13:29.70s set in Birmingham in 1992. Sable also holds the national record in his pet event of 3000m steeplechase. Norway's Jakob Ingebrigtsen won the race with a timing of 13:02.03s."
63," Indian men's boxing team High Performance Director Santiago Nieva has stepped down from his role after serving for five years, the national federation said on Saturday.  Nieva, who took charge of the national team in 2017, will take up the job of the Australian national boxing team head coach.  Nieva's five-year stint had seen some impressive achievements such as the highest-ever participation at the Tokyo Olympics and historic two medals in the 2019 Men's World Championships.  ""Indian boxing has benefited immensely with Santiago's presence. He has played an instrumental role in crafting the growth of Indian boxing in the last five years and we thank him for all the efforts and hard work,"" Boxing Federation of India president Ajay Singh said in a release.  On his part, Nieva said he had an amazing five years of working with the BFI and the talented Indian boxers.  ""Goodbye is always difficult but that's how life works. I thank BFI for all their support during my time with Indian team. I believe Indian boxing has great potential and it will continue to grow,"" Nieva said.  Nieva's original contract was up to the Tokyo Olympics but in January it was extended till the 2024 Paris Olympics. ",Santiago Nieva steps down from his role as Indian men's boxing team High Performance Director . He took charge of the national team in 2017 and will take up the job of the Australian national boxing team head coach . Indian boxing has won two gold medals in the 2019 Men's World Championships .,"Santiago Nieva stepped down from his role as Indian men's boxing team High Performance Director. Nieva's five-year stint since 2017 had seen achievements such as the highest-ever participation at the Tokyo Olympics and historic two medals in the 2019 Men's World Championships. Nieva, whose contract had been extended till the 2024 Paris Olympics, will take up the job of the Australian national boxing team head coach."
